Title,Price,Rating,Reviews,Availability,Product Name
"HONOR X9b 5G (Sunrise Orange, 8GB + 256GB) | India's First Ultra-Bounce Anti-Drop Curved AMOLED Display | 5800mAh Battery | 108MP Primary Camera | Without Charger","25,999.",3.9 out of 5 stars,298 ratings,In stock,HONOR X9b 5G
"TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","6,599.",4.1 out of 5 stars,819 ratings,In stock,TECNO POP 8
"Samsung Galaxy A15 5G (Blue, 8GB, 256GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery","22,499.",3.8 out of 5 stars,157 ratings,In stock,Samsung Galaxy A15 5G
Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 128GB Storage | 3-Day Battery Life | 2 Years of Android Upgrades | SO Purple,"9,999.",3.9 out of 5 stars,"2,867 ratings",In stock,Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM
"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) | 6.7"" Flexible AMOLED Display | 50MP (OIS) + 50MP | 32MP Front Camera | Custom Mediatek Dimensity 7200 Pro Processor | The Iconic Glyph Interface","25,499.",5.0 out of 5 stars,3,In stock,Nothing Phone
"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 128GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Charcoal","7,499.",3.4 out of 5 stars,"1,108 ratings",In stock,"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 128GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Charcoal"
Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM,"11,999.",4.0 out of 5 stars,"14,594 ratings",,Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,999.",4.0 out of 5 stars,"2,228",In stock,Redmi 13C 5G
"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand(Black)",168.,1.0 out of 5 stars,2 ratings,In stock,"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand"
"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand(Black)",168.,1.0 out of 5 stars,2 ratings,In stock,"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand"
Apple iPhone 13 (128GB) - Pink,"49,999.",4.6 out of 5 stars,"25,414 ratings",In stock,Apple iPhone 13
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,27,990.",4.2 out of 5 stars,180 ratings,In stock,Apple iPhone 15 Pro
"Samsung Galaxy A23 5G, Light Blue (6GB, 128GB Storage) with Offer","18,999.",3.9 out of 5 stars,848 ratings,In stock,"Samsung Galaxy A23 5G, Light Blue"
"Vivo Y200e 5G (Saffron Delight, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","20,999.",4.6 out of 5 stars,11 ratings,In stock,Vivo Y200e 5G
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display","8,999.",4.0 out of 5 stars,"14,759 ratings",In stock,realme narzo N53
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Purple,"12,499.",3.9 out of 5 stars,"2,867 ratings",In stock,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM
"POCO C51 (Power Black, 4GB RAM, 64GB Storage)","5,499.",3.8 out of 5 stars,"1,265",In stock,POCO C51
"Vivo Y02t (Sunset Gold, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","7,499.",4.1 out of 5 stars,363,In stock,Vivo Y02t
"Redmi Note 13 5G (Arctic White, 12GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera","21,999.",3.5 out of 5 stars,"1,718 ratings",In stock,Redmi Note 13 5G
"Lava Blaze Curve 5G (Glass Viridian, 8GB LPDDR5 RAM, UFS 3.1 128GB Storage) | 120Hz Curved Amoled Display |2.6GHz Dimensity 7050 6nm Processor |64 MP Primary Sony Sensor","17,999.",Previous page,,In stock,Lava Blaze Curve 5G
Apple iPhone 15 (128 GB) - Black,"71,290.",4.5 out of 5 stars,911,In stock,Apple iPhone 15
Apple iPhone 14 Plus (128 GB) - Yellow,"66,999.",4.5 out of 5 stars,"1,757",In stock,Apple iPhone 14 Plus
"Redmi 13C 5G (Startrail Green, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","14,499.",4.0 out of 5 stars,"2,228 ratings",In stock,Redmi 13C 5G
"Vivo Y56 5G (Orange Shimmer, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","17,999.",4.0 out of 5 stars,961,In stock,Vivo Y56 5G
Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 128GB Storage | 3-Day Battery Life | 2 Years of Android Upgrades | SO Purple,"9,999.",3.9 out of 5 stars,"2,867 ratings",In stock,Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM
"TECNO Phantom V Fold 5G Black (12GB RAM,256GB Storage) | The First Full Size Fold | LTPO AMOLED Display | 4nm D9000+ Fast Processor","69,999.",4.0 out of 5 stars,506 ratings,In stock,TECNO Phantom V Fold 5G Black
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,999.",4.0 out of 5 stars,"2,228 ratings",In stock,Redmi 13C 5G
"Samsung Galaxy A34 5G (Awesome Graphite, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately","26,499.",4.1 out of 5 stars,"1,900 ratings",In stock,Samsung Galaxy A34 5G
"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","14,999.",4.1 out of 5 stars,"15,338",In stock,iQOO Z7s 5G by vivo
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,"12,999.",4.0 out of 5 stars,"14,594",In stock,Redmi 12 5G Jade Black 6GB RAM 128GB ROM
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera","17,999.",3.5 out of 5 stars,"1,718 ratings",In stock,Redmi Note 13 5G
Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM,"11,999.",4.0 out of 5 stars,"14,594 ratings",,Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM
ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black,849.,4.5 out of 5 stars,705 ratings,In stock,ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black
ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black,849.,4.5 out of 5 stars,705,In stock,ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black
Apple iPhone 13 (128GB) - Blue,"49,499.",4.6 out of 5 stars,"25,414 ratings",In stock,Apple iPhone 13
Apple iPhone 15 (128 GB) - Black,"71,290.",4.5 out of 5 stars,911 ratings,In stock,Apple iPhone 15
"OnePlus 12R (Iron Gray, 8GB RAM, 128GB Storage)","39,999.",4.2 out of 5 stars,338 ratings,In stock,OnePlus 12R
"Vivo T2x 5G (Marine Blue, 128 GB) (6 GB RAM)",149.,4.2 out of 5 stars,377,,Vivo T2x 5G
"Realme 8 Pro (Infinite Black, 6GB RAM, 128GB Storage)","17,500.",4.1 out of 5 stars,11 ratings,In stock,Realme 8 Pro
"Motorola Edge 40 Neo 5G (Peach Fuzz, 12GB RAM, 256GB Storage)","28,890.",1.5 out of 5 stars,2,In stock,Motorola Edge 40 Neo 5G
"Motorola G32 (8GB, 128GB) (Satin Maroon)","10,500.",4.0 out of 5 stars,743 ratings,In stock,Motorola G32
"Vivo T2x 5G (Glimmer Black, 128 GB) (6 GB RAM)","14,980.",4.1 out of 5 stars,86,In stock,Vivo T2x 5G
"Samsung Galaxy F54 5G (Stardust Silver, 256 GB) (8 GB RAM)","24,500.",3.8 out of 5 stars,327,In stock,Samsung Galaxy F54 5G
"IKALL K510 Smartphone (5 Inch Display, 2GB Ram, 32GB Storage) (Gold)","4,484.",1.6 out of 5 stars,9 ratings,In stock,IKALL K510 Smartphone
Apple iPhone 14 Plus (512 GB) - Purple,"96,999.",4.5 out of 5 stars,"1,757",In stock,Apple iPhone 14 Plus
Apple iPhone 15 Pro (128 GB) - Black Titanium,"1,27,990.",4.2 out of 5 stars,180 ratings,In stock,Apple iPhone 15 Pro
"Redmi Note 12 5G (Frosted Green,8GB RAM, 256GB Storage)","18,999.",3.8 out of 5 stars,"10,228",In stock,Redmi Note 12 5G
"POCO M6 5G (Orion Blue, 4GB RAM, 128GB Storage)","6,499.",4.0 out of 5 stars,82 ratings,,POCO M6 5G
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","8,999.",3.9 out of 5 stars,"19,317 ratings",In stock,"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera"
"Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)","5,790.",3.9 out of 5 stars,"8,981",,Redmi A2
"Realme narzo 50 (Speed Black, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","10,999.",4.2 out of 5 stars,"19,232 ratings",In stock,Realme narzo 50
"TECNO POP 8 (Alpenglow Gold,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","6,799.",4.1 out of 5 stars,819 ratings,In stock,TECNO POP 8
"Samsung Galaxy S23 5G (Green, 8GB Ram, 256GB Storage)","58,350.",4.1 out of 5 stars,19 ratings,Only 1 left in stock.,Samsung Galaxy S23 5G
"Oppo Reno 11 5G (Rock Grey,128 GB) (8 GB RAM)","28,990.",3.0 out of 5 stars,3 ratings,Only 1 left in stock.,Oppo Reno 11 5G
Apple iPhone 15 Plus (128 GB) - Pink,"80,990.",4.5 out of 5 stars,441,In stock,Apple iPhone 15 Plus
"Redmi 13C 5G (Starlight Black, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","14,499.",4.0 out of 5 stars,"2,228 ratings",In stock,Redmi 13C 5G
ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black,849.,4.5 out of 5 stars,705 ratings,In stock,ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black
ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black,849.,4.5 out of 5 stars,705,In stock,ONES Ultra-Thin Case for iPhone 12/12 Pro · Carbon Fiber Texture [Fingerprint Prevention][Camera ＆ Screen Raised Edges Protection][Impact Absorption][Non-Slip] · Lightweight Cover Black
Apple iPhone 13 (128GB) - Pink,"49,999.",4.6 out of 5 stars,"25,414",In stock,Apple iPhone 13
Apple iPhone 15 (128 GB) - Black,"71,290.",4.5 out of 5 stars,911 ratings,In stock,Apple iPhone 15
"iQOO Z9 5G (Brushed Green, 8GB RAM, 256GB Storage) | Dimensity 7200 5G Processor | Sony IMX882 OIS Camera | 120Hz AMOLED with 1800 nits Local Peak Brightness | 44W Charger in The Box","21,999.",4.0 out of 5 stars,311 ratings,In stock,iQOO Z9 5G
"Lava Storm 5G (Thunder Black, 8GB RAM, 128GB ROM), Premium Glass Back Design, MediaTek Dimensity 6080 Processor, 50MP+8MP Ultrawide Dual Camera, 16MP Front Camera, 33W Fast Charging, Clean Android","12,499.",4.0 out of 5 stars,515 ratings,In stock,Lava Storm 5G
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,"12,499.",3.9 out of 5 stars,"2,867",In stock,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage)","23,998.",3.8 out of 5 stars,109 ratings,In stock,Redmi Note 13 Pro
"Vivo Y56 5G (Orange Shimmer, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","17,999.",4.0 out of 5 stars,961,In stock,Vivo Y56 5G
"iQOO Z9 5G (Graphene Blue, 8GB RAM, 256GB Storage) | Dimensity 7200 5G Processor | Sony IMX882 OIS Camera | 120Hz AMOLED with 1800 nits Local Peak Brightness | 44W Charger in The Box","21,999.",4.0 out of 5 stars,311 ratings,In stock,iQOO Z9 5G
"Lava Blaze 5G (Glass Green, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware)","9,799.",4.0 out of 5 stars,"7,213 ratings",In stock,Lava Blaze 5G
"TECNO Pova 5 (Mecha Black, 8GB RAM,128GB Storage) | Segment 1st 45W Ultra Fast Charging | 6000mAh Big Battery | 50MP AI Dual Camera | 3D Textured Design | 6.78”FHD+ Display","11,999.",4.1 out of 5 stars,541,In stock,TECNO Pova 5
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,27,990.",4.2 out of 5 stars,180 ratings,In stock,Apple iPhone 15 Pro
Apple iPhone 14 Plus (128 GB) - Yellow,"66,999.",4.5 out of 5 stars,"1,757 ratings",In stock,Apple iPhone 14 Plus
Apple iPhone 15 Plus (128 GB) - Black,"80,990.",4.5 out of 5 stars,441 ratings,In stock,Apple iPhone 15 Plus
"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","6,599.",4.1 out of 5 stars,819 ratings,In stock,TECNO POP 8
"iQOO Z7s 5G by vivo (Norway Blue, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","15,999.",4.1 out of 5 stars,"15,338 ratings",In stock,iQOO Z7s 5G by vivo
"Oppo F25 Pro 5G (Lava Red, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","23,999.",4.1 out of 5 stars,41 ratings,In stock,Oppo F25 Pro 5G
Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,"12,999.",4.0 out of 5 stars,"14,594 ratings",In stock,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,799.",4.1 out of 5 stars,295 ratings,In stock,Redmi 13C
"Motorola G34 5G (Charcoal Black, 8GB RAM, 128GB Storage)","13,299.",4.0 out of 5 stars,24 ratings,Only 2 left in stock.,Motorola G34 5G
"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) | 6.7"" Flexible AMOLED Display | 50MP (OIS) + 50MP | 32MP Front Camera | Custom Mediatek Dimensity 7200 Pro Processor | The Iconic Glyph Interface","25,499.",5.0 out of 5 stars,3 ratings,In stock,Nothing Phone
Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM,"11,999.",4.0 out of 5 stars,"14,594",,Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM
